opportunity_id,document_version,buyer,deadline,deadline_timezone,clarification_deadline,procurement_route,mandatory_requirements,commercial_constraints,budget_stated,evaluation_criteria_weights,contractual_terms,ip_data_requirements,classification_summary,uncertainties,precedent_claim_ids,bid_recommendation,rationale,blockers,assumptions,reviewer,review_date,notes,source_ids,opportunity_type,assessment_mode,as_at_date,prior_exposure,requirement_map_location,gate_profile_location,actual_outcome,outcome_source_id,feedback_status,feedback_source_ids,positioning_rationale,review_status,codebook_version,review_batch
T01-BCAT,RFP,British Council,26/09/26,Europe/London,26/09/03,FORMAL_RFP,Analytical requirements explicit; capability criteria; contract terms,Standard British Council contract terms; IP and data clauses,Not stated in RFP,Weighted criteria in RFP and clarifications,Draft agreement terms in Annex1; not executed,IP and data requirements in contract terms,FORMAL_RFP with explicit analytical requirements; contract terms standard; clarification responses received,Contract terms and mandatory capability requirements clarified; some unknowns remain,C-R3-020,BID,Commercial experience guidance applied: contract terms are standard and acceptable; capability fit established; rationale recorded; R2-O02 tested this,None at gate; contract execution requires separate approval,Commercial experience supports BID where capability/fit established,Devin,26/09/09,R2-O02 tested contract gate; v1.2 commercial experience guidance applied; PASS | SUBMITTED 26/09/12 (Iain) — bid documents frozen; outcome pending,SRC-R2-13;SRC-R2-14;SRC-R2-15,FORMAL_PROCUREMENT,AS_AT,26/09/09,None,extracted_text/SRC-R2-13_v1_full.txt;extracted_text/SRC-R2-14_v1_full_sheets.csv;extracted_text/SRC-R2-15_v1_full.txt,r2_neutral_packets.md,SUBMITTED_AWAITING_RESULT,UNKNOWN,UNKNOWN,,British Council Art and Tech RFP; analytical requirements align with Fifth Sector capability,REVIEWED,1.3-candidate,R3-OPPORTUNITIES
T02-QUEENSHALL,N/A,Queen's Hall (client),N/A,N/A,N/A,DIRECT_PROPOSAL,N/A,N/A,N/A,N/A,N/A,N/A,Direct proposal from client following website review; no formal tender documents,No tender documents; phone call only,None,UNKNOWN,Direct proposal; no formal procurement; record as DIRECT_PROPOSAL; requires Iain commercial review,No formal tender documents to assess,Phone call from client based on website review,Devin,26/09/09,T02 is direct proposal; no tender docs; phone call only; confirmed by Iain 26/09/09,,DIRECT_PROPOSAL,AS_AT,26/09/09,None,,,,UNKNOWN,UNKNOWN,UNKNOWN,Direct proposal from client following website review,REVIEWED,1.3-candidate,R3-OPPORTUNITIES
T03-BLACKBURN,N/A,Blackburn with Darwen,N/A,N/A,N/A,DIRECT_PROPOSAL,N/A,N/A,N/A,N/A,N/A,N/A,Direct proposal; no formal tender documents,No tender documents,None,UNKNOWN,Direct proposal; no formal procurement; record as DIRECT_PROPOSAL; requires Iain commercial review,No formal tender documents to assess,Direct proposal confirmed by Iain 26/09/09,Devin,26/09/09,T03 is direct proposal; no tender docs; confirmed by Iain 26/09/09,,DIRECT_PROPOSAL,AS_AT,26/09/09,None,,,,UNKNOWN,UNKNOWN,UNKNOWN,Direct proposal,REVIEWED,1.3-candidate,R3-OPPORTUNITIES
T04-LCRFILM,ITQ,LCR (Liverpool City Region),26/09/26,Europe/London,N/A,FORMAL_ITQ,4-page ITQ specifies requirements adequately,Phased commission; budget across phases,£38K across all phases,Requirements specified in ITQ,Phased commission terms,IP and data requirements in ITQ,FORMAL_ITQ with phased commission; budget across all phases not Phase 1 only; requirements adequately specified,Budget interpretation: £38K across all phases with Phase 1 as portion,C-R3-005,C-R3-006,CONDITIONAL_HOLD,Phase 1 bid submitted but unsuccessful; awaiting confirmation of process to tender for remaining phases; CONDITIONAL_HOLD pending remaining phases process; Iain clarified 26/09/09,Awaiting confirmation of remaining phases tender process,Commercial experience supports PASS where requirements adequately specified,Devin,26/09/09,R2-O01 tested missing brief gate and budget interpretation; v1.2 commercial experience guidance applied; Iain clarified Phase 1 bid unsuccessful; awaiting remaining phases; updated from PASS to CONDITIONAL_HOLD,SRC-R2-12,FORMAL_PROCUREMENT,AS_AT,26/09/09,None,extracted_text/SRC-R2-12_v1_full.txt,r2_neutral_packets.md,PHASE_1_UNSUCCESSFUL,,AWAITING_REMAINING_PHASES,LCR Screen Sector Research ITQ; phased commission; Phase 1 bid unsuccessful; awaiting remaining phases,REVIEWED,1.3-candidate,R3-OPPORTUNITIES
T05-DERBY,RFQ v3,Derby City Council,26/06/30,Europe/London,26/06/22,FORMAL_RFQ_BELOW_THRESHOLD,Strategic review of cultural infrastructure governance organisational arrangements and investment model; CDP registration required; PPON and declaration mandatory,Budget max £50K ex VAT; 33% inception 33% interim 33% final; PL £5M EL statutory PI £1M; Derby City Council standard Purchase Order Conditions,£40K ex VAT (Fifth Sector bid); £50K max (buyer),1.8K word proposal; organisational experience; named team; methodology; programme; milestones,Derby City Council standard Order Form; 7 months; fixed price against agreed day allocation,CDP/PPON required; Foresight platform uses publicly available and licensed data,FORMAL_RFQ below threshold; Derby Culture Strategic Review; Fifth Sector bid £40K; 62 days; 5 strands; Foresight platform; team of 6; bid UNSUCCESSFUL,Bid unsuccessful (folder in 2026 Proposals lost); no feedback offered (below threshold); reason for loss unknown,C-R3-020,NO_BID,Bid submitted at £40K but UNSUCCESSFUL; folder in 2026 Proposals lost; below threshold so no feedback offered; reason for loss unknown; update from HOLD to NO_BID based on actual outcome,Bid unsuccessful; no feedback available,,Devin,26/09/09,T05-DERBY extracted from Archive proposals/2026 Proposals lost/2026 Derby; RFQ ENQ1304; Derby Culture Strategic Review; Fifth Sector bid £40K; 62 days; 5 strands; Foresight platform; team: Iain Bennett Jon Bains Nic Millington Lynne McCadden Charles Freeman Hannah Barker; bid UNSUCCESSFUL; below threshold no feedback; updated from HOLD to NO_BID,SRC-R3-04;SRC-R3-05;SRC-R3-06;SRC-R3-07,FORMAL_PROCUREMENT,AS_AT,26/06/29,None,extracted_text/SRC-R3-04_v1_full.txt;extracted_text/SRC-R3-05_v1_full.txt,r3_plan.md,UNSUCCESSFUL,SRC-R3-04,NO_FEEDBACK,SRC-R3-04,Derby Culture Strategic Review; Fifth Sector authored 2021 Masterplan; Foresight platform differentiator; making-and-innovation identity; South Asian community recognition; Heritage Fund partnership; bid unsuccessful,REVIEWED,1.3-candidate,R3-OPPORTUNITIES
T06-BEYOND,FOLDER_TRIAGE,AHRC (scene setter event participation),UNKNOWN,Europe/London,,EARLY_STAGE,,,,,,,Fireside outline + scene setter materials for BEYOND 2026 event; opportunity development not yet a formal bid,Early-stage opportunity development; AHRC connection evident; no formal tender documents; registered from Drive folder triage spillover-toolkit 26/09/12,,TRIAGE,Registered from Active proposals sweep; requires Iain stage confirmation before BID/NO-BID assessment,,,Devin,26/09/12,Drive folder: Active proposals/2026 BEYOND,,EARLY_STAGE,AS_AT,26/09/12,,,,UNKNOWN,UNKNOWN,UNKNOWN,,Fireside outline + scene setter materials for BEYOND 2026 event; opportunity development not yet a formal bid,REGISTERED,1.3-candidate,SWEEP-TRIAGE
T07-BTM,FOLDER_TRIAGE,UNKNOWN — pitch decks only,UNKNOWN,Europe/London,,DIRECT_PROPOSAL,,,,,,,Circuits and Places pitch decks (Fifth Sector branded); in-development proposal; buyer unclear from folder contents,Pitch materials exist; buyer and submission status not established; registered from Drive folder triage spillover-toolkit 26/09/12,,TRIAGE,Registered from Active proposals sweep; requires Iain stage confirmation before BID/NO-BID assessment,,,Devin,26/09/12,Drive folder: Active proposals/2026 Beyond The Music,,DIRECT_PROPOSAL,AS_AT,26/09/12,,,,UNKNOWN,UNKNOWN,UNKNOWN,,Circuits and Places pitch decks (Fifth Sector branded); in-development proposal; buyer unclear from folder contents,REGISTERED,1.3-candidate,SWEEP-TRIAGE
T08-BRUSSELS,FOLDER_TRIAGE,Brussels partners (NACEBEL-related),UNKNOWN,Europe/London,,CONSORTIUM_BID,,,,,,,Methodology note for Brussels partners + NACEBEL_2025 data; consortium/partnership development stage,Partnership-stage; consortium structure and buyer not established; registered from Drive folder triage spillover-toolkit 26/09/12,,TRIAGE,Registered from Active proposals sweep; requires Iain stage confirmation before BID/NO-BID assessment,,,Devin,26/09/12,Drive folder: Active proposals/2026 Brussels,,CONSORTIUM_BID,AS_AT,26/09/12,,,,UNKNOWN,UNKNOWN,UNKNOWN,,Methodology note for Brussels partners + NACEBEL_2025 data; consortium/partnership development stage,REGISTERED,1.3-candidate,SWEEP-TRIAGE
T09-CSG,FOLDER_TRIAGE,AHRC Large Grants (via City St George’s),UNKNOWN,Europe/London,,GRANT_APPLICATION,,,,,,,STRIDE/AHRC Dance Large Grant application; filename indicates application submitted to UKRI Creative cluster,Application appears SUBMITTED (filename evidence); formal confirmation needed; registered from Drive folder triage spillover-toolkit 26/09/12,,TRIAGE,Registered from Active proposals sweep; requires Iain stage confirmation before BID/NO-BID assessment,,,Devin,26/09/12,Drive folder: Active proposals/2026 City St George’s Large Grants,,GRANT_APPLICATION,AS_AT,26/09/12,,,,UNKNOWN,UNKNOWN,UNKNOWN,,STRIDE/AHRC Dance Large Grant application; filename indicates application submitted to UKRI Creative cluster,REGISTERED,1.3-candidate,SWEEP-TRIAGE
T10-MARBEL,FOLDER_TRIAGE,Belfast Culture & Animation commissioning (CAP),UNKNOWN,Europe/London,,CONSORTIUM_BID,,,,,,,"Belfast CAP partner brief: methodology, approach & costing docs, biographies; Fifth Sector as consortium partner",Partner-stage bid; consortium lead and submission status not established; registered from Drive folder triage spillover-toolkit 26/09/12,,TRIAGE,Registered from Active proposals sweep; requires Iain stage confirmation before BID/NO-BID assessment,,,Devin,26/09/12,Drive folder: Active proposals/2026 Maritime Belfast,,CONSORTIUM_BID,AS_AT,26/09/12,,,,UNKNOWN,UNKNOWN,UNKNOWN,,"Belfast CAP partner brief: methodology, approach & costing docs, biographies; Fifth Sector as consortium partner",REGISTERED,1.3-candidate,SWEEP-TRIAGE
