method_id,project_id,method_family,method_status,contemporary_terminology,retrospective_interpretation,purpose,outputs,source_ids,notes,claim_ids,review_status,reviewer,review_date,codebook_version,review_batch
M-R3-001,P01-NES,creative_economy_mapping,APPLIED,Four-tier workforce modelling; LinkedIn profiling; BRES/IDBR analysis; GVA calculation,,Map scale and significance of creative industries in NE Scotland,Report with 28 tables; GVA figures; workforce counts; convergence analysis,SRC-R2-01;SRC-R2-02,Method applied across three evidence layers: official data; real-time firmographic classification; LinkedIn workforce profiling. Reconciled to avoid double-counting.,C-R3-001;C-R3-002,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-002,P01-NES,convergence_analysis,APPLIED,Convergence economy framing; cross-sector gap analysis,,Identify trading relationship between simulation/visualisation firms and creative/marketing agencies,Convergence opportunity analysis; £1.1B potential impact figure,SRC-R2-01,Convergence economy framing is a narrative innovation identifying cross-sector spillover potential,C-R3-003,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-003,P01-NES,options_assessment,APPLIED,Options assessment; policy playbook,,Identify funding opportunities and strategic recommendations,Policy playbook v3; five growth strategies; five strategic recommendations,SRC-R2-01,Options assessment produces recommendations for strategic investment,C-R3-004,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-004,P02-FGTG,company_data_analysis,APPLIED,Beauhurst company data; SIC code analysis; Innovate UK funding data,,Analyse GM SME innovation funding landscape,Company data analysis; sector org mapping,SRC-R2-03;SRC-R3-01,Method applied in Phase 1 to map the innovation funding landscape,C-R3-005,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-005,P02-FGTG,workshop_facilitation,APPLIED,Application Masterclass workshop; stakeholder engagement,,Deliver innovation funding support workshop for SMEs,Workshop delivered Dec 2024; workshop report Jun 2025; workshop analysis,SRC-R2-03;SRC-R3-01;SRC-R3-03,Workshop was planned (R2-D02 PROPOSED) and then delivered. R3 sources confirm delivery and outcomes.,C-R3-006;C-R3-007,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-006,P02-FGTG,options_analysis,APPLIED,Options for devolved approach; GM R&D funding process optimisation,,Propose GM-specific process framework for R&D funding,Options document with 4-stage framework; 3-phase implementation; KPIs,SRC-R3-02,Options document builds on workshop feedback; proposes devolved funding variations; DESIGN/RECOMMENDATION,C-R3-008,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-007,P03-MITIH,ecosystem_mapping,APPLIED,Createch ecosystem mapping; Lightcast skills data; SOC code analysis,,Map createch ecosystem and identify strategic opportunities,Ecosystem report with 57 tables; SNA; job posting analysis,SRC-R2-04,Method applied over 3 months early 2025. Report delivered but recommendations rejected by client.,C-R3-009;C-R3-010,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-008,P03-MITIH,social_network_analysis,APPLIED,SNA of MITIH database; network structure analysis,,Map network structure and identify bridging organisations,SNA results; bridging organisation identification; microbusiness connector role,SRC-R2-04,SNA maps existing network structure; identifies bridging characteristics of microbusinesses. Pre-existing structure not changed by intervention.,C-R3-011;C-R3-012,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-009,P03-MITIH,investment_sequence_design,PROPOSED,Gated investment sequence; demand validation study,,Propose risk-managed investment sequence for ecosystem strengthening,Appendix with 3-phase gated sequence; demand validation; proceed/pause/pivot criteria,SRC-R2-04,Investment sequence is PROPOSED not APPLIED. Commissioner holds the option. Gating conditions not yet met.,C-R3-013,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-A
M-R3-010,P04-GBSLEP,creative_economy_mapping,APPLIED,BRES/IDBR analysis; company data; GVA calculation; cluster analysis,,Map scale and profile of creative industries in GBSLEP area,Report with 54 tables; GVA figures; cluster analysis; SWOT,SRC-R2-05,Method applied by BOP with Bennett as associate. 1138 paras 54 tables.,C-R3-014;C-R3-015;C-R3-016,REVIEWED,Devin,2026-09-09,1.3-candidate,R3-BATCH-B
