source_id,project_id,title,document_type,author_owner,date_version,controlled_location,page_section_locator,access_restrictions,extraction_quality,independence,source_family_id,notes,additional_project_ids,opportunity_ids,original_location,derived_location,authority_status,authority_rationale,source_review_state,extraction_tool_version,extraction_scope,extraction_warnings,original_locator,reviewer,review_date,codebook_version,review_batch
SRC-R2-01,P01-NES,Pinning Stones convergence economy FINAL,report_draft,Iain Bennett,26/04/20,canonical/P01-NES/260605 Mapping_Creative_Industries_report_v3.12.docx,title/date/scope/headline numbers/methodology qualifiers,internal_only,COMPLETE,primary,NES-FAM,Superseded by v3.12 but tests version/baseline distinction,,,,Active projects/2025 NE Scotland/2025 NE Scotland reporting/260420_Pinning_stones_convergence_economy_FINAL.docx,extracted_text/SRC-R2-01_v1_full.txt,SUPERSEDED,Filename contains FINAL but is superseded by v3.12; tests version authority,REVIEWED,python-docx,full,24 tables extracted; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-02,P01-NES,NES Creative Industries Report,report,Iain Bennett,26/05/08,canonical/P01-NES/260605 Mapping_Creative_Industries_report_v3.12.docx,title/date/scope/headline numbers/methodology qualifiers,internal_only,COMPLETE,primary,NES-FAM,Canonical v3.12 confirmed; R2-D01 tests baseline distinction between two differently dated reports,,,,Active projects/2025 NE Scotland/2025 NE Scotland reporting/260508 NES_Creative_Industries_Report.docx,extracted_text/SRC-R2-02_v1_full.txt,CANONICAL,v3.12 confirmed as canonical main report,REVIEWED,python-docx,full,Headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-03,P02-FGTG,FG2G Update,update,Iain Bennett,24/11/06,canonical/P02-FGTG/241106 FG2G Update.docx,entire update,internal_only,COMPLETE,primary,FGTG-FAM,"WORKING DRAFT: V2 draft (Apr 24) is not final; later content exists including TDC12 consultation presentation (May 29, 16 slides) and CDEC proposal.pdf (Nov 29, scanned); Transcript not automatically a workshop outcome report; R2-D02 and R2-D08 test workshop planning vs delivery and missing-vs-null",,,,Archive projects/2024 Projects/2024 Man Met From Good to Great/2024 FGTG Phase 2/241106 FG2G Update.docx,extracted_text/SRC-R2-03_v1_full.txt,CANONICAL,Project closed; spillovers emerged through SME engagement,REVIEWED,python-docx,"V2 draft marked DRAFT; ends abruptly; later versions exist (TDC12 May 29 presentation, Nov 29 proposal); 85 lines extracted",Headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-04,P03-MITIH,MITIH Createch Ecosystem Report (Oct 24 reconciliation),report_reconciliation,Iain Bennett,25/10/24,canonical/P03-MITIH/251024 MITIH Createch Ecosystem Report.docx,appendix (D03); section 4 (D04),internal_only,COMPLETE,primary,MITIH-FAM,152 paras 0 tables; reconciliation attempt not full report; June 12 report NOT accepted; findings valid but recommendations rejected; R2-D03 tests investment-sequence appendix; R2-D04 tests bridging-organisations network,,,,Archive projects/2025 Projects/2025 MITIH Createch ecosystem/2025 MITIH Reporting/251024 MITIH Createch Ecosystem Report.docx,extracted_text/SRC-R2-04_v1_full.txt,RECONCILIATION,June 12 NOT accepted; Aug 17 and Oct 24 are reconciliation attempts; report unpublished; findings valid,REVIEWED,python-docx,full,Headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-05,P04-GBSLEP,GBSLEP Creative Economy report,report,BOP Consulting / Iain Bennett,17/12/12,canonical/P04-GBSLEP/171212 GBSLEP Creative Economy report.docx,executive-summary cultural organisations/intermediaries subsections,internal_only,COMPLETE,primary,GBSLEP-FAM,Fifth Sector subcontractor to BOP; R2-D05 tests intermediaries/knowledge transfer and Fifth Sector role; 18/07 DF CHANGES is post-publication correction,,,,Archive projects/2017 Projects/2017 GBSLEP creative economy mapping/171212 GBSLEP Creative Economy report.docx,extracted_text/SRC-R2-05_v1_full.txt,CANONICAL,17/12 report canonical; 18/08 executive summary also relevant,REVIEWED,python-docx,full,Headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-06,P05-WMCA,WMCA Creative Business scale-up final report,report_pdf,BOP Consulting,20/01/09,canonical/P05-WMCA/200109 WMCA Creative Business scale-up final report.pdf,cover/quotation and methodology section,internal_only,COMPLETE,primary,WMCA-FAM,CORRECTED: original R2 source was 190730 final.docx (client quotation response by Pritpal Bhurji NOT the report); corrected to 20/01/09 PDF confirmed by Iain 26/09/09; Fifth Sector subcontractor to BOP; R2-D06 tests document type behind filename containing final,,,,Archive projects/2020 Projects/2020 WMCA Creative Scaleup/200109 WMCA Creative Business scale-up final report.pdf,extracted_text/SRC-R2-06_v1_full.txt,CANONICAL,20/01/09 PDF confirmed as canonical by Iain 26/09/09; BOP prime Fifth Sector sub,REVIEWED,PyPDF2,full,17 pages; images/tables/form-fields not captured; old extraction from docx renamed SUPERSEDED,original PDF,Devin,26/09/09,v1.1
SRC-R2-07,P06-COSTAR,CoSTAR Case ad Delivery,bid_support,Steve Hunt / Iain Bennett,23/01/30,canonical/P06-COSTAR/230125 CoSTAR Case ad Delivery.docx,cover strategic fit and theory of change,internal_only,COMPLETE,primary,COSTAR-FAM,Bid NOT successful (confirmed by Iain 26/09/09); 25/10 consortium plan is for different/revived consortium; R2-D07 tests bid-support work and funding outcome; national competition not local,,,,Archive projects/2022 Projects/2022 CoSTAR/CoSTAR bid material/230125 CoSTAR Case ad Delivery.docx,extracted_text/SRC-R2-07_v1_full.txt,CANONICAL,Bid support document; bid NOT successful,REVIEWED,python-docx,full,283 paras 2 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-08,P07-CC,Creative City project inception,inception_note,Iain Bennett,20/09/14,canonical/P07-CC/200914 Creative City project inception.docx,entire short inception note,internal_only,COMPLETE,primary,CC-FAM,38 paras 0 tables; SIPF application NOT successful (confirmed by Iain 26/09/09); project did not proceed beyond inception; R2-T01 tests atomic method/output/design proposition and commission/programme distinction,,,,Archive projects/2020 Projects/2020 Creative City/Creative City project inception/200914 Creative City project inception.docx,extracted_text/SRC-R2-08_v1_full.txt,CANONICAL,Inception note; application NOT successful,REVIEWED,python-docx,full,38 paras 0 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-09,P08-LIVDCI,LCR DCI Cluster mapping proposal,proposal,Iain Bennett,24/01/05,canonical/P08-LIVDCI/240105 LCR DCI Cluster mapping_TheFifthSector.docx,experience and methodology sections only,internal_only,COMPLETE,primary,LIVDCI-FAM,274 paras 1 table rev=307; proposal NOT the final report; Iain confirmed use both; R2-T02 tests method reuse/role and proposal vs delivery separation; final report accepted by client,,,,Archive projects/2024 Projects/2024 Liverpool DCI/2024 LCR Cluster Mapping Proposal/240105 LCR DCI Cluster mapping_TheFifthSector.docx,extracted_text/SRC-R2-09_v1_full.txt,CANONICAL,Proposal; use with SRC-R2-09B (final report),REVIEWED,python-docx,full,Headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/08,v1.1
SRC-R2-09B,P08-LIVDCI,LiverpoolCityRegion DigitalCreative final report,report,Iain Bennett,24/07/08,canonical/P08-LIVDCI/LiverpoolCityRegion_DigitalCreative_final.docx,full report for context,internal_only,COMPLETE,primary,LIVDCI-FAM,844 paras 27 tables 85 pages; final report accepted by client (confirmed by Iain 26/09/09); added as supplementary source to SRC-R2-09; R2-T02 tests proposal vs delivery,,,,Archive projects/2024 Projects/2024 Liverpool DCI/LCR DCI reporting/LiverpoolCityRegion_DigitalCreative_final.docx,extracted_text/SRC-R2-09B_v1_full.txt,CANONICAL,Final report accepted by client confirmed by Iain 26/09/09,REVIEWED,python-docx,full,27 tables; headers/footers/footnotes/images not captured,original DOCX,Devin,26/09/09,v1.1
