request_id,client,contact_name,project_ids,permission_scope,proposed_wording,request_channel,date_sent,response_date,status,notes
PR-01,British Council (via BEYOND framework),,P81-WB6;P82-KOTOR;P83-BCWB,CITE_AS_DELIVERED + method attribution,"May we cite the WB6 Creative Economy Pulse pilot and Creative Economy Councils work (Kotor 2025 ministerial, council development) as delivered work — and will the contract include a method-attribution and citation-permission clause?",CONTRACT CLAUSE (BEYOND contract in preparation),,,DRAFTED,Clause to be included in awaited BEYOND contract per Iain 26/09/12 — permission secured at contracting stage
PR-02,University of Plymouth,,P82-KOTOR,CITE_AS_DELIVERED,May we cite the Kotor 2025 ministerial exchange pilot work — delivered as subcontractor to UoP under the FCDO-funded programme — in future bids?,,,,DRAFTED,UoP held the FCDO contract via BC; TFS subcontractor
PR-03,Wakefield Council,,P27-WAKECDF;P64-BCJ;P69-OURYEAR,CITE_AS_DELIVERED + NAMED_REFEREE,"May we cite the Wakefield CDF evaluation, the Our Year business case justification, and the Our Year programme evaluation — methodology and reported outcomes — as delivered work, and may we name Wakefield Council as a referee?",,,,DRAFTED,DUAL ASK agreed 26/09/12 — one conversation covers the whole Wakefield arc (CDF + BCJ + Our Year)
PR-04,Liverpool City Council (TBC — Iain checking commissioner),,P33-LCRMUS,NAMED_REFEREE,"We intend to cite the published LCR Music Economy report (public document, consortium credit: The Fifth Sector Limited / Unscrambled.world in partnership with UoL IPM) — may we also name the commissioner as a referee?",,,,DRAFTED,Public report — citation needs no licence; only named-referee/commissioner-naming needs permission. Unscrambled=TFS subcontractor (no ask); IPM=Next Wave partner (implied).
PR-05,Liverpool City Region Combined Authority,,"P22-LCRFILM (+P08-LIVDCI, P19-LCRIMM if same client — bundle check)",CITE_AS_DELIVERED + NAMED_REFEREE,"May we cite the LCR Production Fund evaluation — including final outcomes (£8.69:£1 leverage, 859 indirect FTE, 41% recoupment) — as delivered evaluation work? Figures are LFO programme data incorporated into the evaluation.",,,,DRAFTED,"Data-vs-evaluation distinction explicit in the ask. If P08/P19 also CA commissions, bundle into one conversation."
PR-06,Lancaster University,,P75-LANC;P87-TRUENORTH (P76 Horizon bid optional — NOT_AWARDED),CITE_AS_DELIVERED,"May we cite the Places evidence commission delivered into your CICP2 application, and the True North stakeholder workshop — as delivered work?",,,,DRAFTED,BUNDLE: three Lancaster engagements exist (P75-LANC/P76/P87) — one conversation covers all. £10k payment doc still unlocated.
PR-07,BOP Consulting / Frontier Economics (prime evaluators),,P16-CICP,CITE_CONTRIBUTION,May we cite Fifth Sector/Iain's design contribution to the CICP evaluation (specific components TBC) as part of the BOP/Frontier evaluation team?,,,,CAPPED,"Iain 26/09/12: claims capped at ""contributed to"" — too distant to seek specific attribution; permission pursuit not proportionate. Do NOT send specific-attribution ask."
PR-08,Liverpool BID (funding counterparty for Beatles Legacy Group),,P78-BEATLES,CITE_AS_DELIVERED,May we cite the Beatles tourism ROI study (repeat measurement vs 2016 baseline) as delivered work?,,,,DRAFTED,Client = Beatles Legacy Group (unconstituted); contractual/funding counterparty = Liverpool BID.
PR-09,LLDC / CELL client,,P79-CELL,CITE_AS_DELIVERED now; DATA_REUSE when clarification lands,May we cite the London Experience Economy mapping (74k-profile supply-chain analysis) as delivered work? Separately: data-reuse agreement for CoSTAR Showcase bid needed by early Oct (hard stop 26/10/29).,,,,DRAFTED,Two-tier ask: citation now; data-reuse is deeper permission — republishing client data in consortium bid. Linked to client clarification already pending.
PR-10,South Yorkshire MCA,,P20-SYMCA21;P24-SYMCACGP;P51,CITE_AS_DELIVERED,May we cite the SYMCA CCI mapping reports and ARG evaluation (incl. the £2bn footprint finding and Music Hub legacy) as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-11,West Yorkshire CA / Leeds City Region,,P17-LCRCSU;P68,CITE_AS_DELIVERED,May we cite the Creative Scale Up evidence base and WYCreate business-support/M&E work as delivered?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-12,Tees Valley CA,,P46,CITE_AS_DELIVERED,May we cite the CCI baseline and Capital Investment Leverage Framework (incl. DRHQ 1:1.72 case) as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-13,Derby City Council,,P23-DERBY;P35-DERBYMAP,CITE_AS_DELIVERED,May we cite the Cultural Masterplan/Compact and Screen Agency feasibility as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-14,Lancashire LEP / Lancashire CC,,P25-LANCGP;P45,CITE_CONTRIBUTION,May we cite our data contribution to the Create Growth application and the Digital Strategy as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-15,Herefordshire Council + Cultural Partnership,,P30-HEREFORD;P84,CITE_AS_DELIVERED,May we cite the culture strategy review and partnership strategy work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-16,Solent LEP / Solent & Hampshire CA,,P29-SOLENTCGP;P34-SOLENTHANTS,CITE_AS_DELIVERED,May we cite the CGP market-awareness research and SHCA CI mapping (£5.25bn) as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-17,Leicester City Council,,P61,CITE_AS_DELIVERED,May we cite the Leicester CCI strategy and Cultural Compact (web-published version)?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-18,Manchester Metropolitan University,,P21-MMUCCI,CITE_AS_DELIVERED,May we cite the CCI positioning audit (incl. REF-2021 visibility finding) as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-19,Somerset Council,,P52,CITE_AS_DELIVERED,May we cite the Somerset Cultural Strategy method and findings (noting adoption circumstances)?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-20,Surrey County Council / Surrey+,,P32-SURREY,CITE_AS_DELIVERED,May we cite the Creative Corridor framework (£7.2bn; Farnborough aerospace→screen case) as delivered work?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-21,Rushmoor Council,,P57,CITE_AS_DELIVERED,May we cite the Cultural Strategy and Compact (incl. SIC-misclassification findings)?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-22,Theatre Royal Plymouth,,P62,CITE_AS_DELIVERED,May we cite the TRP Education and Learning engagement findings?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-23,Plymouth City Council,,P58,CITE_CONTRIBUTION,May we cite the National Marine Park digital strategy and case-study codex (with Audience Agency/UoP credits)?,,,,DRAFTED,Seeded 26/09/12 cardless batch
PR-24,North East Lincolnshire Council / Magna Vitae,,P18-GRIMSBY,CITE_CONTRIBUTION,May we cite our mapping-data contribution to the Open for Culture baseline?,,,,DRAFTED,Seeded 26/09/12 cardless batch
