publication_id,destination_page,linked_claim_ids,permitted_wording,rights_consent_records,approver,approval_date,review_expiry_trigger,notes,permitted_use,permission_status,rights_status,consent_status,publication_status,publication_authorisation,publication_evidence,codebook_version,review_batch
PUB-P01-NES,TENDER_CITATION,P01-NES claims,May be named in tender submissions,,Iain,2026-09-12,Website publication request or client relationship change,"Straightforward — PRIME, public sector",TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P02-FGTG,TENDER_CITATION,P02-FGTG claims,May be named in tender submissions,,Iain,2026-09-12,Website publication request or client relationship change,PRIME to MMU consortium,TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P03-MITIH,TENDER_CITATION,P03-MITIH claims,May be named in tender submissions,,Iain,2026-09-12,Website publication request or client relationship change,"Delivered + accepted; honest framing if asked — initial recommendations rejected, reconciliation accepted",TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P04-GBSLEP,TENDER_CITATION,P04-GBSLEP claims,Cite as co-led with BOP Consulting (Jonathan Todd) — do not claim sole authorship,,Iain,2026-09-12,Website publication request or client relationship change,Shared credit,TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P05-WMCA,TENDER_CITATION,P05-WMCA claims,"Cite as delivered under BOP associate arrangement, fees to The Fifth Sector",,Iain,2026-09-12,Website publication request or client relationship change,Associate arrangement,TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P06-COSTAR,TENDER_CITATION,P06-COSTAR claims,"Cite as shortlisted consortium bid; framework shortlisted on submission strength, unsuccessful at interview",,Iain,2026-09-12,Website publication request or client relationship change,Shortlisted not awarded,TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P07-CC,TENDER_CITATION,P07-CC claims,"Cite as shortlisted SIPF application; framework shortlisted on submission strength, not awarded",,Iain,2026-09-12,Website publication request or client relationship change,Shortlisted not awarded,TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P08-LIVDCI,TENDER_CITATION,P08-LIVDCI claims,May be named in tender submissions,,Iain,2026-09-12,Website publication request or client relationship change,"Straightforward — PRIME, public sector",TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P09-CDEC,TENDER_CITATION,P09-CDEC claims,Cite as paid consultation input (demonstrators + TDC12 presentation); challenges paper remained working draft,,Iain,2026-09-12,Website publication request or client relationship change,Delivered consultation,TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
PUB-P10-KIRK,TENDER_CITATION,P10-KIRK claims,May be named in tender submissions,,Iain,2026-09-12,Website publication request or client relationship change,Three repeat PRIME cycles; 2026 cycle pending acceptance,TENDER_NAMED,APPROVED_NAMED,CLEARED,NOT_REQUIRED_INTERNAL_APPROVAL,TENDER_ONLY_NOT_WEBSITE,Iain 2026-09-12,Iain verbal confirmation during R3 card walkthrough,1.3-candidate,R3-PILOT
