review_id,review_batch,record_type,record_id,field_name,action,coder,recorded_at,codebook_version,initial_value,previous_value,new_value,source_ids,source_locator,rationale,adjudicator,decision_status,related_review_ids,successor_record_ids
REV-R2-001,R2,LOCK_CONFIRM,Iain_R2_labels,lock_status,LOCK,Iain,26/09/09T08:15:00Z,v1.1,LOCKED,,,,All 14 units coded and locked privately,,,,,
REV-R2-002,R2,INITIAL_CODE,R2-D01,claim_type,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,METHOD_APPLICATION,,SRC-R2-01;SRC-R2-02,title/date/scope/headline numbers,Mapping methodology applied to produce GVA baseline,,,,,
REV-R2-003,R2,INITIAL_CODE,R2-D01,canonical_version,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNRESOLVED,May 8 (SRC-R2-02),SRC-R2-01;SRC-R2-02,headline numbers,May 8 report is later version with more cautious figures and explicit caveats; v3.12 is confirmed canonical but predates both,,,,,
REV-R2-004,R2,INITIAL_CODE,R2-D02,method_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,PROPOSED,PROPOSED,SRC-R2-03,entire transcript,Workshop is planned not delivered; transcript shows planning only,,,,,
REV-R2-005,R2,INITIAL_CODE,R2-D02,evidence_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,HYPOTHESIS,HYPOTHESIS,SRC-R2-03,entire transcript,Workshop has not occurred; evidence is proposed not reported,,,,,
REV-R2-006,R2,INITIAL_CODE,R2-D03,option_holder,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,COMMISSIONER,SRC-R2-04,appendix investment sequence,Commissioner/funder holds the option to proceed; Fifth Sector proposed the sequence but does not hold the right to exercise it,,,,,
REV-R2-007,R2,INITIAL_CODE,R2-D03,option_state,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,PROPOSED,SRC-R2-04,appendix investment sequence,Investment sequence is proposed; gating conditions not yet met,,,,,
REV-R2-008,R2,INITIAL_CODE,R2-D04,tie_change,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,PRE_EXISTING,SRC-R2-04,section 4,SNA maps existing bridging characteristics; ties are pre-existing not created by intervention,,,,,
REV-R2-009,R2,INITIAL_CODE,R2-D04,attribution_strength,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,DISTINCTIVENESS_ONLY,SRC-R2-04,section 4,Fifth Sector identified bridging role; did not create the bridging organisations or their network positions,,,,,
REV-R2-010,R2,INITIAL_CODE,R2-D05,attribution_strength,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,CO_AUTHORED_ANALYSIS,SRC-R2-05,exec summary/intermediaries subsections,Co-authored the analysis with BOP; did not co-create the knowledge transfer patterns themselves,,,,,
REV-R2-011,R2,INITIAL_CODE,R2-D05,contracting_role,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,SUBCONTRACTOR,SRC-R2-05,exec summary/intermediaries subsections,BOP was prime; Bennett was associate/subcontractor,,,,,
REV-R2-012,R2,INITIAL_CODE,R2-D06,method_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,APPLIED,SRC-R2-06,cover/methodology,Corrected source is 20/01/09 final report PDF; mapping methodology was applied,,,,,
REV-R2-013,R2,INITIAL_CODE,R2-D06,evidence_status,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,REPORTED,SRC-R2-06,cover/methodology,Scale-up scores and business counts reported from the mapping,,,,,
REV-R2-014,R2,INITIAL_CODE,R2-D06,contracting_role,INITIAL_CODE,Iain,26/09/09T08:15:00Z,v1.1,,UNKNOWN,SUBCONTRACTOR,SRC-R2-06,cover/methodology,BOP prime confirmed by Iain; Fifth Sector subcontractor,,,,,
