project_id,canonical_name,aliases,client,client_type,date_start,date_end,lifecycle_status,sector_activity,geography,scope_decision,fifth_sector_role,intended_beneficiaries,project_objectives,source_coverage,assessment_owner,assessment_status,drive_folder_path,onedrive_folder_path,notes,parent_project_id,phase_name,programme_status,contracting_role,prime_contractor,relationship_evidence,review_status,codebook_version,review_batch
P01-NES,North East Scotland Creative Industries Mapping,,Aberdeen City Council / Aberdeenshire Council,local_authority,25/07,26/06/05,COMPLETED,creative_industries_mapping,North East Scotland (Aberdeen and Aberdeenshire),Full creative economy mapping with convergence analysis and policy playbook,DESIGNER;DELIVERER,Regional Economic Partnership; local authority decision-makers; practitioners; organisations across creative cultural and digital sectors,Evidence to demonstrate position creative industries should occupy in Regional Economic Strategy,COMPLETE,Iain,R3_assessed,Active projects/2025 NE Scotland,,Project spanned 25/08 to 26/06; v3.12 canonical final delivered 26/06/05; 28 tables in final report; convergence economy framing is central narrative innovation; v3.12 ACCEPTED by client confirmed by Iain 26/09/09,,,,PRIME,The Fifth Sector,PRIME confirmed by Iain 26/09/09; v3.12 accepted by client,REVIEWED,1.3-candidate,R3-PILOT
P02-FGTG,From Good to Great (Innovate GM / Innovate UK),,Manchester Metropolitan University (on behalf of GM partners and universities),combined_authority,24/02,25/06/17,COMPLETED,sme_innovation_support,Greater Manchester,Innovation funding support workshop and analysis for SMEs,DELIVERER;ADVISOR,SMEs seeking Innovate UK funding; universities; GMCA; Growth Hub,Understand SME experiences with innovation funding and improve GM approach,COMPLETE,Iain,R3_assessed,Archive projects/2024 Projects/2024 Man Met From Good to Great,,"PRIME to Manchester Metropolitan University (consortium lead); £25,000. Tender wording: ""commissioned by Manchester Metropolitan University on behalf of Greater Manchester partners and universities"" — do NOT claim GMCA/Innovate UK as direct client. Devolved R&D funding option (GMCA/Innovate UK): proposed, exercise unknown.",,,,PRIME,The Fifth Sector (prime to Manchester Met),"Iain 26/09/12: Man Met COMMISSIONED and PROJECT-MANAGED the work on behalf of Greater Manchester partners and universities (consortium incl. GMCA, Growth Company, partner universities). Fifth Sector contracted to MMU as consortium lead.",REVIEWED,1.3-candidate,R3-PILOT
P03-MITIH,MITIH Createch Ecosystem (MediaCity ITIH),,MediaCity / Innovate UK,innovation_funder,25/02,UNKNOWN,COMPLETED,createch_ecosystem_mapping,Greater Manchester / MediaCity,Ecosystem mapping with SNA and policy playbook,DESIGNER;DELIVERER;EVALUATOR,GM creative sector SMEs; universities; innovation funders,Map createch ecosystem and identify strategic opportunities for Greater Manchester,COMPLETE,Iain,R3_assessed,Archive projects/2025 Projects/2025 MITIH Createch ecosystem,,Report delivered 25/06 but REJECTED by client for recommendations; Aug 17 and Oct 24 are reconciliation attempts; Oct 24 reconciliation report ACCEPTED by client confirmed by Iain 26/09/09; findings valid; NOT confidential but unpublished (CONFIDENTIAL label corrected by Iain); SNA introduced Mar 28; investment-sequence appendix proposes gated phases,,,,PRIME,The Fifth Sector,Contract Fifth Sector 25/02/24 suggests direct contract; Oct 24 accepted; not confidential,REVIEWED,1.3-candidate,R3-PILOT
P04-GBSLEP,GBSLEP Creative Economy Mapping,,Greater Birmingham & Solihull LEP,LEP,17/05,17/12/13,COMPLETED,creative_industries_mapping,Greater Birmingham & Solihull,Creative economy mapping with intermediaries and knowledge transfer analysis,ADVISOR;INTERPRETER,LEP members; creative sector organisations; intermediaries,Map scale and significance of creative economy and identify strategic opportunities,COMPLETE,Iain,R3_assessed,Archive projects/2017 Projects/2017 GBSLEP creative economy mapping,,BOP Consulting prime; Fifth Sector/Bennett as associate; 17/12 report 1138 paras 54 tables; 18/08 executive summary,,,,SUBCONTRACTOR,BOP Consulting,Co-lead with Jonathan Todd (then BOP); confirmed by Iain 26/09/12,REVIEWED,1.3-candidate,R3-PILOT
P05-WMCA,WMCA Creative Business Scaleup,,West Midlands Combined Authority,combined_authority,19/03,20/01/09,COMPLETED,creative_business_scaleup,West Midlands,Creative business scaleup mapping with Common Application Gateway criteria,ADVISOR;INTERPRETER,WMCA; creative businesses in West Midlands,Map creative businesses and identify scale-up potential,COMPLETE,Iain,R3_assessed,Archive projects/2020 Projects/2020 WMCA Creative Scaleup,,BOP Consulting prime confirmed by Iain; 20/01/09 PDF is canonical final report; 17 pages; scale-up scores and business counts,,,,BOP_ASSOCIATE,BOP Consulting,"BOP prime; Bennett as BOP associate, fees to Fifth Sector; confirmed by Iain 26/09/12",REVIEWED,1.3-candidate,R3-PILOT
P06-COSTAR,CoSTAR bid support,,CoSTAR consortium (GMCA SODA Factory International Magnopus AND FutureEverything),consortium,22/11,23/02/02,COMPLETED,bid_support,Greater Manchester / national,CoSTAR consortium bid support for national screen theatre and audiovisual research competition,DESIGNER;ADVISOR,CoSTAR consortium; UKRI,Support CoSTAR consortium bid for national research infrastructure funding,COMPLETE,Iain,R3_assessed,Archive projects/2022 Projects/2022 CoSTAR,,Bid NOT successful confirmed by Iain 26/09/09; Case for Support signed 23/02; 25/10 consortium plan is different/revived; national competition,,,,ADVISORY,NOT_APPLICABLE,ADVISORY role confirmed by Iain 26/09/12 (VAL-R3-012); consortium bid not awarded,REVIEWED,1.3-candidate,R3-PILOT
P07-CC,Creative City (SIPF application),,Manchester Metropolitan University (MMU),grant_programme,20/08,20/09/14,NOT_AWARDED,digital_creative_initiative,Greater Manchester,Creative City+ SIPF application with inception note,DESIGNER,GM creative sector; digital/creative organisations,Develop digital/creative initiative for GM Creative City,COMPLETE,Iain,R3_assessed,Archive projects/2020 Projects/2020 Creative City,,SIPF application NOT successful confirmed by Iain 26/09/09; project did not proceed beyond inception; 38 paras 0 tables in inception note,,,,ADVISORY,NOT_APPLICABLE,Bid support to MMU confirmed by Iain 26/09/12; SIPF applicant not commissioned contract,REVIEWED,1.3-candidate,R3-PILOT
P08-LIVDCI,Liverpool City Region Digital & Creative Industries Cluster Mapping,,Liverpool City Region,combined_authority,24/01,24/07/08,COMPLETED,digital_creative_cluster_mapping,Liverpool City Region,Cluster mapping with supply chain and skills analysis,DESIGNER;DELIVERER,LCR; digital and creative businesses; universities; LEP,Map digital and creative industries cluster and identify strategic opportunities,COMPLETE,Iain,R3_assessed,Archive projects/2024 Projects/2024 Liverpool DCI,,Final report accepted by client confirmed by Iain 26/09/09; 844 paras 27 tables 85 pages; proposal and final report both relevant,,,,PRIME,The Fifth Sector,PRIME confirmed by Iain 26/09/12 (VAL-R3-015),REVIEWED,1.3-candidate,R3-PILOT
P09-CDEC,Creative Digital Economy Catapult challenges paper,,CDEC (became Digital Catapult),public_body,12/04,12/04/24,COMPLETED,challenges_paper,national (UK),Challenges paper identifying convergence between ICT and creative industries,ADVISOR,CDEC; creative digital economy stakeholders,Identify challenges and opportunities for creative digital economy,COMPLETE,Iain,R3_assessed,Archive projects/2012 Projects/2012 Creative Digital Economy Catapult,,Challenges paper finalised confirmed by Iain 26/09/09; Fifth Sector advisory/consultative role; 85 paras 0 tables; oldest project in pilot (2012); R2-T03 tested contextual vs hypothesis classification,,,,ADVISORY,NOT_APPLICABLE,Advisory paid commission confirmed by Iain 26/09/12,REVIEWED,1.3-candidate,R3-PILOT
P10-KIRK,Kirklees Creative Industries Mapping (three cycles: 2022 2024 2026),,Kirklees Council / West Yorkshire Combined Authority,local_authority,21/10,UNKNOWN,ONGOING,creative_industries_mapping_economic_impact,Kirklees West Yorkshire,Three-cycle creative economy mapping with method evolution and economic impact assessment,DESIGNER;DELIVERER;EVALUATOR,Kirklees Council; West Yorkshire CA; creative sector organisations; practitioners,Map creative industries and assess economic impact across three cycles,COMPLETE,Iain,R3_assessed,Archive projects/2021 Projects/2021 Kirklees CI mapping; Active projects/2026 Kirklees CI mapping,,Three report cycles: 2022 (430 paras 8 tables 44 pages) 2024 (544 paras 19 tables 48 pages) 2026 (608 paras 21 tables 73 pages); 2022 and 2024 accepted; 2026 submitted pending acceptance confirmed by Iain 26/09/09; method evolution case study; 2026 workflow shift to Markdown + structured audits; PRIME all cycles confirmed by Iain; £250.9m GVA USED IN POLICY by Kirklees Council confirmed by Iain 26/09/09,,,,PRIME,The Fifth Sector,PRIME all cycles confirmed by Iain 26/09/09; 2026 submitted pending; policy use confirmed,REVIEWED,1.3-candidate,R3-PILOT
